T(s),Sa(g)
0,0.59
0.01,0.6
0.02,0.6
0.03,0.6
0.05,0.66
0.075,0.8
0.1,0.92
0.15,1.1
0.2,1.23
0.25,1.36
0.3,1.48
0.4,1.58
0.5,1.56
0.75,1.36
1,1.19
1.5,0.92
2,0.75
3,0.55
4,0.42
5,0.32
7.5,0.18
10,0.11
